"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"76",3,5,4,7,4,2,6,5,8,3,37,10,4,1,7,3,5,6,4,6,5,5,2,4,6,5,1,7,7,2,4,2,3,5,9,4,2,3,9,6,5,5,2,4,4,1,10,3,3,3,6,1,5,8,4,1,5,7,3,4,6,5,2,2,2,3,4,4,3,3,2,4,3,5,4,5,0,9,10,11,3,6,4,5,4,7,3,4,4,2,10,2,4,4,5,5,5,4,5,7,6,7,6,4
"77",3,5,6,6,5,2,3,5,6,7,33,15,4,4,3,2,2,6,2,1,5,3,1,2,3,16,3,16,4,5,4,3,5,3,4,2,4,2,5,5,5,5,6,6,3,1,4,1,1,8,3,1,6,5,1,5,6,7,6,2,3,3,2,1,5,3,3,8,3,1,1,3,1,5,3,2,1,6,8,2,3,5,1,3,1,2,6,2,0,9,3,0,6,4,5,2,6,4,3,3,2,5,5,2
"78",2,5,1,3,3,4,5,7,5,3,36,8,7,6,2,8,0,1,3,3,4,3,3,4,7,9,1,10,3,2,0,5,1,5,3,2,5,3,2,4,0,5,2,2,3,12,2,6,4,3,6,2,10,4,2,1,4,6,4,1,5,4,2,2,2,1,2,2,4,4,4,3,1,3,7,1,0,4,4,4,4,8,2,3,0,12,1,4,4,6,6,5,8,3,6,4,7,5,8,2,4,4,4,2
"79",3,0,2,5,4,1,3,5,4,4,34,16,4,2,2,4,2,1,11,1,0,4,3,6,3,6,4,11,2,1,3,3,1,3,0,4,4,1,3,1,3,2,2,2,3,0,6,3,1,5,1,3,4,2,6,2,1,3,4,3,3,3,3,6,7,3,5,3,0,1,1,0,3,3,4,3,0,11,1,9,5,5,1,2,3,2,3,1,4,4,2,3,4,11,1,3,6,4,2,6,3,5,2,6
"80",3,7,0,3,5,4,2,1,4,5,34,12,5,2,4,3,1,4,5,2,1,6,1,1,5,8,2,5,6,4,5,1,0,5,3,3,4,2,2,1,5,5,3,1,8,4,5,4,3,4,0,0,2,2,3,3,5,2,4,2,3,3,6,2,2,4,3,0,3,4,1,6,5,2,3,2,0,8,6,3,2,0,2,3,5,4,1,3,1,0,1,2,6,2,2,1,3,0,2,6,2,2,3,4
"81",4,3,1,1,5,0,4,2,3,0,52,6,5,2,2,2,10,1,5,3,7,2,1,5,5,11,4,8,1,1,4,1,1,2,4,3,3,4,0,3,4,2,3,5,3,1,4,2,0,2,2,2,3,0,0,4,4,7,4,4,2,3,1,1,3,2,6,1,2,2,4,4,3,1,1,1,0,5,3,6,0,2,0,3,2,4,1,1,4,5,3,0,7,5,2,0,6,3,3,3,5,6,0,2
"82",4,1,4,2,4,3,2,5,4,2,54,14,4,3,1,2,1,2,3,2,4,2,0,3,4,7,6,2,0,3,4,4,7,3,1,4,6,1,1,5,5,0,2,1,2,1,1,3,1,4,3,3,5,2,3,1,1,0,4,4,0,5,2,3,5,3,1,0,1,3,4,2,0,2,2,2,0,4,3,3,5,4,1,5,3,0,1,2,2,3,3,5,3,1,2,4,4,5,4,1,3,3,3,0
"83",2,1,3,4,6,3,4,2,4,3,41,15,3,3,5,7,1,8,1,3,5,4,1,1,3,1,0,3,3,2,4,0,1,3,4,3,3,0,1,7,2,1,3,3,7,3,3,1,2,2,2,3,0,1,3,2,2,1,1,1,1,2,0,3,3,1,0,2,0,0,2,1,3,2,1,2,0,4,6,0,0,1,1,2,0,2,1,1,1,0,4,2,4,3,4,6,3,3,3,3,2,7,4,3
"84",1,1,3,4,2,0,1,2,1,4,43,10,2,0,1,0,0,0,2,5,3,2,2,1,1,0,5,0,0,3,4,1,1,1,2,2,1,1,2,2,1,6,0,0,2,2,2,5,2,2,0,0,5,2,4,1,1,1,0,3,1,1,1,4,1,5,1,2,0,2,0,4,1,1,2,1,0,4,8,5,1,3,0,0,2,0,1,2,1,0,3,2,1,1,2,4,3,2,3,2,1,1,5,3
"85",7,0,3,2,0,5,2,1,1,0,41,4,1,3,2,0,2,1,1,3,1,1,3,4,2,1,2,1,1,0,1,2,1,0,0,3,4,1,1,3,1,3,4,4,3,6,2,0,2,2,1,1,1,2,0,4,2,2,1,3,1,0,1,1,0,1,0,1,2,0,2,4,1,2,1,3,0,2,4,2,2,4,3,1,4,2,3,1,0,4,3,1,6,4,6,1,2,1,1,2,3,1,2,2
"86",2,1,2,0,4,0,0,2,0,1,34,12,2,1,3,2,3,0,1,0,3,2,0,3,2,2,0,0,2,2,0,0,1,0,1,2,1,1,1,2,2,4,0,2,3,3,3,1,1,3,0,2,3,3,0,2,5,4,1,1,1,1,0,1,2,1,1,0,4,0,0,0,2,2,0,1,0,1,4,1,2,2,0,1,2,1,2,1,0,1,4,0,2,1,2,0,3,0,0,2,0,0,2,0
"87",0,2,2,0,4,1,0,1,1,3,37,3,4,4,1,2,2,0,1,3,1,3,1,2,1,1,1,1,0,1,0,2,0,2,2,1,0,0,1,0,0,2,2,2,2,0,2,1,0,0,3,1,2,1,2,0,0,0,1,1,3,2,2,0,0,2,1,2,0,1,0,2,1,2,1,0,0,2,0,5,1,1,0,2,2,0,3,0,3,1,0,0,2,3,5,0,2,6,1,2,1,4,0,0
"88",1,2,0,0,3,0,1,1,1,1,32,11,0,1,2,2,2,1,0,0,1,1,0,2,0,0,5,1,1,1,0,0,1,2,0,1,1,0,1,3,1,1,1,2,0,1,2,3,0,1,2,0,0,0,1,3,2,1,3,1,2,1,3,0,5,1,0,0,0,2,0,3,1,1,0,0,0,2,4,3,0,1,1,1,0,0,1,1,2,2,5,2,5,0,2,2,3,0,2,3,1,1,1,0
"89",2,0,1,1,3,1,2,1,3,1,43,10,2,1,3,5,3,1,0,0,0,1,1,2,3,4,0,0,3,0,0,0,0,1,0,1,0,0,3,0,1,1,1,2,1,4,1,1,0,0,1,0,1,1,0,0,1,5,3,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,4,1,0,1,2,3,1,0,1,2,0,1,1,0,0,4,2,0,2,0,1,2,1,1,0,0,1,1,3,2
"90",1,1,0,0,0,0,0,1,2,1,30,3,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,2,1,0,1,0,0,1,1,1,1,1,1,0,2,0,0,1,0,0,2,1,0,1,0,0,0,3,3,1,2,1,1,2,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,4,0,1,1,4,0,0,3,7,1,1,3,1,1,0,0,0,0,0,0
"91",0,1,0,0,1,2,0,1,1,1,15,10,3,0,0,3,0,2,2,1,0,3,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,3,0,1,2,2,0,0,1,1,1,0,1,0,0,0,0,1,0
